Iteration,a,b,f(a),f(b),b - a,c,f(c)
51,4.999999999999998,5.0,0.775347980516919,0.775347980516919,1.7763568394002505e-15,4.999999999999999,0.775347980516919
52,4.999999999999999,5.0,0.775347980516919,0.775347980516919,8.881784197001252e-16,5.0,0.775347980516919
53,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
54,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
55,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
56,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
57,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
58,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
59,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
60,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
61,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
62,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
63,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
64,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
65,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
66,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
67,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
68,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
69,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
70,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
71,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
72,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
73,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
74,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
75,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
76,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
77,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
78,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
79,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
80,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
81,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
82,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
